"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1964321516771787214","Sat Sep 06 13:35:19 +0000 2025","2047","wkwkwkwkwwkwkwkwkwkwkwkkwkwkw request lagu acab yang baek hati baaang","1964321516771787214","","","in","","15","88","784","https://x.com/undefined/status/1964321516771787214","312534295",
"1965712833393664469","Wed Sep 10 09:43:55 +0000 2025","4","ada yang mau titip shampoo tsubaki gaaa buy 1 get 1 nich exp masih jauhh! fee-nya 20k ajah exclude ongkir atau bisa gratis ongkir via (ada admin fee) https://t.co/4OAjb6o0LP","1965712833393664469","https://pbs.twimg.com/media/G0edYyKbEAAm9pq.jpg","","in","","0","3","0","https://x.com/undefined/status/1965712833393664469","1115527493522345990",
"1966047738912718988","Thu Sep 11 07:54:43 +0000 2025","16","Brutalitas aparat masih belum dihukum dengan tegas penyuara-penyuara demokrasi masih dikriminalisasi dan belum pulang ke rumah wakil rakyat masih tidak mendengar aspirasi 17+8 masih belum tuntas. Teruslah marah! #ACAB","1966047738912718988","","","in","","0","0","1","https://x.com/undefined/status/1966047738912718988","1569140625957859328",
"1963626788019708342","Thu Sep 04 15:34:43 +0000 2025","140","Dear Mas Keren Lebih baik pakai masker atau anonymous saat aksi begini dan jangan upload di medsos pribadi karena hal sepele bisa jadi alibi utk kriminalisasi. Mereka ACAB dan tidak dididik soal demokrasi apalagi soal HAM. Plis hati-hati. https://t.co/UG83cz6ewB","1963626788019708342","https://pbs.twimg.com/amplify_video_thumb/1962902020559368194/img/u81mSwpEhHVJSFGH.jpg","","in","","0","0","34","https://x.com/undefined/status/1963626788019708342","150123967",
"1963477610890920118","Thu Sep 04 05:41:56 +0000 2025","90","ACAB Ada Coffee Aku Bahagia https://t.co/dXIjSDQ8Bu","1963477610890920118","https://pbs.twimg.com/ext_tw_video_thumb/1963477547636985856/pu/img/92Rx-5JcJGLsRLyW.jpg","","in","","0","6","5","https://x.com/undefined/status/1963477610890920118","1216918270629969921",
"1964882159912816675","Mon Sep 08 02:43:07 +0000 2025","18","baru nih mclaren yg gaada drama nya","1964882159912816675","","","in","","0","0","1","https://x.com/undefined/status/1964882159912816675","1487632455096213506",
"1963891111904137256","Fri Sep 05 10:35:11 +0000 2025","19","@basebuku nih tinggal milih mau yg mana bagus semua https://t.co/oM1hBz3FL3","1963913797611159870","https://pbs.twimg.com/media/G0E5LNVWUAAYeQ7.jpg","basebuku","in","","0","2","0","https://x.com/undefined/status/1963913797611159870","1280835292153262080",
"1964083903951753645","Fri Sep 05 21:51:08 +0000 2025","248","WKWKW EVERYONE ALWAYS SAID POTONG GAJI POTONG TUNJANGAN BUT WHY NO ONE SAID POTONG KEPALA? ","1964083903951753645","","","in","","1","3","105","https://x.com/undefined/status/1964083903951753645","1738713236609159168",
"1965251482607104418","Tue Sep 09 03:10:40 +0000 2025","24","eh purbaya lo tuh ga seterkenal itu ga usah star syndrome","1965251482607104418","","","in","","0","0","12","https://x.com/undefined/status/1965251482607104418","1115527493522345990",
"1965657301341384948","Wed Sep 10 06:03:15 +0000 2025","28","Lagi dan lagi kelakuan ACAB https://t.co/8OzZAmDbgF","1965657301341384948","https://pbs.twimg.com/amplify_video_thumb/1965657084990750720/img/mOqbc1IzB9pg5X09.jpg","","in","","1","2","11","https://x.com/undefined/status/1965657301341384948","1156869918370873344",
